subject,mean_rtr_pre,mean_rtr_post,mean_rtr_delta,mean_str_pre,mean_str_post,mean_str_delta,mean_balance_pre,mean_balance_post,mean_balance_delta
1,0.01940412392718,0.0154897818661458,-0.00391434206103426,0.549498161042278,0.558431074758926,0.00893291371664752,0.530094037115098,0.54294129289278,0.0128472557776818
2,0.0164477646047006,0.0235530378736516,0.00710527326895103,0.563076619940349,0.539794523388982,-0.0232820965513666,0.546628855335648,0.51624148551533,-0.0303873698203177
3,0.0165828430438323,0.0174546407458087,0.000871797701976382,0.549799871815487,0.569561813542903,0.0197619417274163,0.533217028771655,0.552107172797095,0.0188901440254399
5,0.0141562631301296,0.0140037756186224,-0.000152487511507195,0.539966835631989,0.550873576005096,0.0109067403731069,0.52581057250186,0.536869800386474,0.0110592278846141
6,0.0155141428684804,0.0147816037207978,-0.000732539147682587,0.55497759435363,0.608008392692401,0.0530307983387712,0.539463451485149,0.593226788971603,0.0537633374864538
7,0.013802720594253,0.0167789619367153,0.00297624134246232,0.49299412443181,0.535116118119047,0.0421219936872366,0.479191403837557,0.518337156182331,0.0391457523447743
8,0.0150956416384005,0.0135250556942857,-0.00157058594411487,0.474640258431116,0.572901515625353,0.0982612571942363,0.459544616792716,0.559376459931067,0.0998318431383512
9,0.0114705955645309,0.0189935285087538,0.00752293294422289,0.561111413660642,0.613584402946311,0.0524729892856694,0.549640818096111,0.594590874437558,0.0449500563414465
10,0.0105729856191483,0.0140584863817182,0.00348550076256991,0.465556236882699,0.602554904317509,0.136998667434809,0.454983251263551,0.588496417935791,0.133513166672239
11,0.0159370912441927,0.0140126188971709,-0.00192447234702176,0.550216131525441,0.553958719008922,0.00374258748348109,0.534279040281248,0.539946100111751,0.00566705983050285
12,0.0162935514324838,0.0157907289448107,-0.0005028224876731,0.578033479938465,0.578319700016179,0.000286220077713752,0.561739928505981,0.562528971071368,0.000789042565386852
13,0.0154869841438845,0.0155093964259031,2.24122820185707e-05,0.56813342461048,0.607179361263034,0.0390459366525536,0.552646440466596,0.591669964837131,0.039023524370535
