edge_id,roi_i_107space,roi_j_107space,n_subjects,mean_delta_str,median_delta_str,sd_delta_str,t_obs,parametric_t_p_two_sided_reference,n_positive_subjects,n_negative_subjects,n_zero_subjects,cohen_dz,p_perm_t_two_sided,p_perm_t_greater_reference,p_perm_t_FWER_maxT_reference,p_perm_mean_two_sided_reference,q_BH_FDR_t_two_sided,q_BH_FDR_mean_two_sided_reference,FDR05_significant_t,FDR10_significant_t,positive_mean_delta,negative_mean_delta,FDR05_significant_positive_t,FDR05_significant_negative_t,roi_i_roi_label,roi_i_region_label,roi_j_roi_label,roi_j_region_label,bootstrap_CI_low_top_edges_only,bootstrap_CI_high_top_edges_only
014__064,14,64,13,0.096043024,0.074223901,0.089524501,3.868081308,0.002235643,13,0,0,1.07281273,0.000244141,0.00012207,0.916503906,0.000244141,0.149465388,0.149465388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_014,ROI_014,ROI_064,ROI_064,0.053310406,0.145861885
039__080,39,80,13,0.090208306,0.080797016,0.072243511,4.502143761,0.000723946,13,0,0,1.248670014,0.000244141,0.00012207,0.642822266,0.000244141,0.149465388,0.149465388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_039,ROI_039,ROI_080,ROI_080,0.056174423,0.130761776
007__014,7,14,13,0.089500541,0.086318103,0.067070369,4.811346574,0.00042525,13,0,0,1.334427444,0.000244141,0.00012207,0.508789063,0.000244141,0.149465388,0.149465388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_007,ROI_007,ROI_014,ROI_014,0.055791697,0.125116788
042__095,42,95,13,0.074314668,0.066345183,0.061518732,4.355508241,0.000935727,13,0,0,1.208000638,0.000244141,0.00012207,0.714599609,0.000244141,0.149465388,0.149465388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_042,ROI_042,ROI_095,ROI_095,0.043027054,0.107261377
013__042,13,42,13,0.101148858,0.085293597,0.071333865,5.112542191,0.00025641,12,1,0,1.417964078,0.000488281,0.000244141,0.38671875,0.000488281,0.149465388,0.149465388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_013,ROI_013,ROI_042,ROI_042,0.064314165,0.138369583
075__081,75,81,13,0.098250083,0.098491642,0.06499679,5.450203194,0.000147616,12,1,0,1.511614391,0.000488281,0.000244141,0.278564453,0.000488281,0.149465388,0.149465388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_075,ROI_075,ROI_081,ROI_081,0.064950579,0.133387647
007__095,7,95,13,0.086924885,0.093063261,0.059583224,5.26007335,0.000201051,12,1,0,1.45888186,0.000488281,0.000244141,0.337158203,0.000488281,0.149465388,0.149465388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_007,ROI_007,ROI_095,ROI_095,0.056292263,0.117522194
007__071,7,71,13,0.074579954,0.047836552,0.079233544,3.393788008,0.005330554,12,1,0,0.941267437,0.000488281,0.000244141,0.990966797,0.000488281,0.149465388,0.149465388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_007,ROI_007,ROI_071,ROI_071,0.03641703,0.118178831
006__038,6,38,13,0.064684526,0.058123328,0.046604243,5.004337857,0.000307073,12,1,0,1.387953596,0.000488281,0.000244141,0.4296875,0.000488281,0.149465388,0.149465388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_006,ROI_006,ROI_038,ROI_038,0.04122323,0.089585277
007__038,7,38,13,0.061317173,0.056167672,0.054089588,4.087333954,0.001506115,12,1,0,1.133622473,0.000488281,0.000244141,0.832763672,0.000488281,0.149465388,0.149465388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_007,ROI_007,ROI_038,ROI_038,0.034325457,0.090441267
