edge_id,roi_i_107space,roi_j_107space,n_subjects,mean_delta_str,median_delta_str,sd_delta_str,t_obs,parametric_t_p_two_sided_reference,n_positive_subjects,n_negative_subjects,n_zero_subjects,cohen_dz,p_perm_t_two_sided,p_perm_t_greater_reference,p_perm_t_FWER_maxT_reference,p_perm_mean_two_sided_reference,q_BH_FDR_t_two_sided,q_BH_FDR_mean_two_sided_reference,FDR05_significant_t,FDR10_significant_t,positive_mean_delta,negative_mean_delta,FDR05_significant_positive_t,FDR05_significant_negative_t,roi_i_roi_label,roi_i_region_label,roi_j_roi_label,roi_j_region_label,network_pair,network17_pair,bootstrap_CI_low_top_edges_only,bootstrap_CI_high_top_edges_only
075__095,75,95,13,0.122390084,0.132922281,0.084766924,5.205848031,0.000219774,11,2,0,1.443842462,0.001220703,0.000610352,0.354003906,0.001220703,0.149465388,0.149465388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_075,ROI_075,ROI_095,ROI_095,Unknown - Unknown,Unknown - Unknown,0.075280134,0.164180414
071__075,71,75,13,0.11851833,0.09234548,0.091254461,4.682772884,0.000529739,12,1,0,1.298767519,0.000732422,0.000366211,0.557617188,0.000732422,0.149465388,0.149465388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_071,ROI_071,ROI_075,ROI_075,Unknown - Unknown,Unknown - Unknown,0.072444535,0.16659567
080__095,80,95,13,0.111184765,0.121609046,0.078296866,5.120030879,0.000253245,12,1,0,1.420041067,0.001220703,0.000610352,0.384277344,0.001220703,0.149465388,0.149465388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_080,ROI_080,ROI_095,ROI_095,Unknown - Unknown,Unknown - Unknown,0.069038826,0.15154262
063__095,63,95,13,0.109025012,0.09563937,0.103110404,3.812372521,0.002473534,12,1,0,1.057361893,0.001708984,0.000854492,0.929931641,0.001708984,0.149465388,0.149465388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_063,ROI_063,ROI_095,ROI_095,Unknown - Unknown,Unknown - Unknown,0.056832703,0.163370002
031__071,31,71,13,0.108321511,0.104195962,0.089942065,4.342337091,0.00095767,11,2,0,1.204347618,0.001464844,0.000732422,0.721435547,0.001464844,0.149465388,0.149465388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_031,ROI_031,ROI_071,ROI_071,Unknown - Unknown,Unknown - Unknown,0.062199802,0.155452004
010__075,10,75,13,0.107249967,0.125074587,0.084296437,4.587326216,0.000624466,11,2,0,1.272295376,0.001708984,0.000854492,0.599121094,0.001708984,0.149465388,0.149465388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_010,ROI_010,ROI_075,ROI_075,Unknown - Unknown,Unknown - Unknown,0.062416164,0.149143322
094__095,94,95,13,0.10640572,0.10086812,0.101340707,3.78575688,0.002596228,11,2,0,1.049980042,0.002685547,0.001342773,0.936767578,0.002685547,0.149465388,0.149465388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_094,ROI_094,ROI_095,ROI_095,Unknown - Unknown,Unknown - Unknown,0.054119673,0.160298725
007__061,7,61,13,0.106357027,0.111271155,0.101457305,3.77967573,0.002625128,11,2,0,1.048293435,0.004150391,0.002075195,0.938476563,0.004150391,0.149465388,0.149465388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_007,ROI_007,ROI_061,ROI_061,Unknown - Unknown,Unknown - Unknown,0.051927719,0.157215341
013__080,13,80,13,0.106203451,0.110058801,0.074309941,5.153038522,0.000239778,12,1,0,1.42919574,0.000732422,0.000366211,0.374755859,0.000732422,0.149465388,0.149465388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_013,ROI_013,ROI_080,ROI_080,Unknown - Unknown,Unknown - Unknown,0.065226278,0.143030913
064__080,64,80,13,0.10573973,0.095255982,0.087937995,4.335441299,0.00096937,11,2,0,1.20243507,0.001708984,0.000854492,0.725097656,0.001708984,0.149465388,0.149465388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_064,ROI_064,ROI_080,ROI_080,Unknown - Unknown,Unknown - Unknown,0.061130395,0.15209786
